ISO 639-3,Language,Family,Genus,Speakers,Script,Basic Word Order,Polysynthetic?,Parts,Total sentences (LaBSE),Total in-family sentences (LaBSE),Total in-genus sentences (LaBSE),Total sentences (LASER),Total in-family sentences (LASER),Total in-genus sentences (LASER),Average F1 (LaBSE),Average F1 (LASER),Average G-H dist. (LaBSE),Average G-H dist. (LASER),Average SVG (LaBSE),Average SVG (LASER),Average ECOND-HM (LaBSE),Average ECOND-HM (LASER),Grand mean margin score (LaBSE),Grand mean margin score (LASER)
deu,German,Indo-European,Germanic,"90,300,000",Latin,Mixed,0,COMPLETE,701000000,11616265100,3916959000,8700000,377177649,259221917,0.3385,0.2323,0.9973,1.0384,13977.1454,41281.0341,0.677,0.2323,1.0412,0.7439
ell,Greek,Indo-European,Greek,"13,000,000",Greek,SVO,0,COMPLETE,204000000,11616265100,204000000,6500000,377177649,6500000,0.3297,0.0007,0.9822,1.0917,13986.4147,40756.2159,0.6593,0.0007,1.0003,0.5704
guj,Gujarati,Indo-European,Indo-Iranian,"45,500,000",Gujarati,SOV,0,New Testament,89920000,11616265100,824900000,0,0,0,0.3449,0.0052,0.9843,1.0398,14157.6492,40666.9521,0.6898,0.0052,1.029,0.6514
hat,Haitian Creole,Creole,Haitian Creole,"7,700,000",Latin,SVO,0,COMPLETE,70091000,70091000,70091000,0,0,0,0.1057,0.0013,1.1767,1.1078,13594.4475,40694.3898,0.2114,0.0013,0.7256,0.605
heb,Hebrew,Afro-Asiatic,Semitic,"5,300,000",Hebrew,SVO,0,COMPLETE,172500000,495945000,475664000,4100000,12677000,12388000,0.3388,0.2293,1.0056,1.0133,14271.2392,40974.9824,0.6776,0.2293,1.0272,0.6679
hin,Hindi,Indo-European,Indo-Iranian,"180,000,000",Devanagari,SOV,0,COMPLETE,134800000,11616265100,824900000,288000,377177649,8029000,0.333,0.1871,1.0343,1.0307,14186.8407,41152.2134,0.6659,0.1871,1.0229,0.7368
hun,Hungarian,Uralic,Finno-Ugric,"12,500,000",Latin,SVO,0,COMPLETE,188600000,11616265100,352100000,5300000,377177649,13200000,0.0575,0.0004,1.9055,2.2698,13575.7385,42565.4078,0.115,0.0004,0.6866,0.5039
isl,Icelandic,Indo-European,Germanic,"230,000",Latin,SVO,0,COMPLETE,108080000,11616265100,3916959000,2000000,377177649,259221917,0.334,0.0001,0.9882,2.176,14140.8078,198612.7565,0.6681,0.0001,1.0226,0.3726
ind,Indonesian,Austronesian,Malayo-Polynesian,"23,100,000",Latin,SVO,0,COMPLETE,283000000,517929400,517929400,4300000,7592560,7592560,0.073,0.0002,1.0668,1.0414,13571.4764,40666.3546,0.146,0.0002,0.6628,0.5645
ita,Italian,Indo-European,Italic,"61,700,000",Latin,SVO,0,COMPLETE,279000000,11616265100,2513780000,8300000,377177649,36284000,0.3355,0.1649,1.5311,1.58,14276.5794,41429.8499,0.671,0.1649,0.9913,0.639
jai,Jakalteko,Mayan,Kanjobalan-Chujean,"77,700",Latin,VSO,1,New Testament,0,0,0,0,0,0,0.3486,0.1235,0.9894,0.9807,13908.113,40014.2975,0.6971,0.1235,1.098,0.4728
jpn,Japanese,Japonic,Japanese,"122,000,000",Kanjii,SOV,0,COMPLETE,1410000000,1410000000,1410000000,3200000,3200000,3200000,0.3211,0.0002,0.9809,1.1161,13884.3155,39807.9356,0.6423,0.0002,0.9971,0.6769
jpn,Japanese (tokenised),Japonic,Japanese,"122,000,000",Kanjii,SOV,0,COMPLETE,1410000000,1410000000,1410000000,3200000,3200000,3200000,0.0767,0.0001,1.6358,1.3475,13568.9074,43518.405,0.1535,0.0001,0.6551,0.5841
kab,Kabyle,Afro-Asiatic,Berber,"3,100,000",Latin,VSO,0,New Testament,0,0,0,15000,12677000,77000,0.3424,0.2642,1.0011,1.037,14100.8381,41310.8427,0.6848,0.2642,1.0422,0.7442
kan,Kannada,Dravidian,Southern,"35,300,000",Kannada,SOV,0,COMPLETE,49440000,334050000,227740000,0,0,0,0.3269,0.1538,1.0239,1.104,13892.5424,41264.7581,0.6537,0.1538,0.996,0.7285
quc,K’iche’,Mayan,Quichean-Mamean,"1,900,000",Latin,VOS,1,New Testament,0,0,0,0,0,0,0.0519,0,1.2736,1.327,13558.1948,41072.3813,0.1038,0,0.67,0.5849
quc,K’iche’ (SIL orthography),Mayan,Quichean-Mamean,"1,900,000",Latin,VOS,1,New Testament,0,0,0,0,0,0,0.3406,0.247,0.9992,1.0389,14371.0444,41220.5521,0.6812,0.247,1.0142,0.7516
kor,Korean,Altaic(?),Korean,"66,300,000",Hangul,SOV,0,COMPLETE,211000000,211000000,211000000,1400000,1400000,1400000,0.3404,0.2017,0.9783,0.9981,14208.4069,40972.1487,0.6809,0.2017,1.0275,0.6564
lat,Latin,Indo-European,Italic,Extinct,Latin,Mixed,0,COMPLETE,14470000,11616265100,2513780000,19000,377177649,36284000,0.1342,0.0027,1.2507,1.2987,13631.237,40941.9695,0.2684,0.0027,0.7544,0.6288
lav,Latvian,Indo-European,Baltic,"1,500,000",Latin,SVO,0,New Testament,121900000,11616265100,220200000,2000000,377177649,5200000,0.3322,0,0.9987,1.0889,14006.1174,40656.199,0.6643,0,1.0135,0.6047
lit,Lithuanian,Indo-European,Baltic,"3,100,000",Latin,SVO,0,COMPLETE,98300000,11616265100,220200000,3200000,377177649,5200000,0.1269,0.0046,1.2388,1.0748,13585.0385,40551.2761,0.2538,0.0046,0.7528,0.6354
dop,Lukpa,Niger-Congo,Atlantic-Congo,"50,000",Latin,SVO,0,New Testament,0,0,0,0,0,0,0.0735,0.0002,1.1157,1.0938,13570.512,40628.7657,0.147,0.0002,0.6698,0.6044
plt,Malagasy,Austronesian,Malayo-Polynesian,"7,520,000",Latin,VOS,0,COMPLETE,8427000,517929400,517929400,355000,7592560,7592560,0.3309,0.2655,1.0369,1.0639,14361.3793,41250.2355,0.6617,0.2655,0.9977,0.7542
mal,Malayalam,Dravidian,Southern,"35,400,000",Malayalam,SOV,0,COMPLETE,60900000,334050000,227740000,373000,448000,415000,0.3293,0.1603,1.0158,1.0297,13708.0691,41149.5068,0.6586,0.1603,1.0049,0.7298
mam,Mam,Mayan,Quichean-Mamean,"200,000",Latin,VSO,1,New Testament,0,0,0,0,0,0,0.3396,0.1276,1.0015,1.0245,13945.8964,40962.9985,0.6792,0.1276,1.042,0.6862
mri,Maori,Austronesian,Malayo-Polynesian,"60,000",Latin,VSO,0,COMPLETE,6419000,517929400,517929400,0,0,0,0.3438,0.207,1.0034,0.9976,14189.7271,40631.7741,0.6876,0.207,1.0444,0.6099
mar,Marathi,Indo-European,Indo-Iranian,"68,000,000",Devanagari,SOV,0,COMPLETE,64700000,11616265100,824900000,31000,377177649,8029000,0.3092,0.025,1.0149,1.1438,13835.243,41185.3123,0.6184,0.025,0.9687,0.673
mya,Myanmar (Burmese),Sino-Tibetan,Tibeto-Burman,"32,300,000",Myanmar,SOV,0,COMPLETE,42820000,1313269000,42820000,2000,8308000,2000,0.3442,0.2537,0.9905,1.049,14178.1587,41276.8801,0.6884,0.2537,1.0467,0.7473
nhg,Nahuatl (Tetelcingo),Uto-Aztecan,Southern Uto-Aztecan,"3,500",Latin,VSO,1,New Testament,0,0,0,0,0,0,0.3274,0.0002,1.1755,1.5659,14375.9819,65573.4798,0.6547,0.0002,0.9798,0.5988
nep,Nepali,Indo-European,Indo-Iranian,"11,100,000",Devanagari,SOV,0,COMPLETE,33170000,11616265100,824900000,0,0,0,0.3408,0.2459,0.9994,1.0041,14120.4752,41210.647,0.6816,0.2459,1.0363,0.711
nor,Norwegian,Indo-European,Germanic,"4,600,000",Latin,Mixed,0,COMPLETE,170800000,11616265100,3916959000,4100000,377177649,259221917,0.3353,0.2,1.0404,1.0397,14233.2518,41191.1226,0.6707,0.2,1.0205,0.7383
ojb,Ojibwa,Algic,Algonquian,"20,000",Aboriginal Syllabics,Mixed,1,New Testament,0,0,0,0,0,0,0.3419,0.1988,1.0035,0.9926,14147.4306,40785.2816,0.6838,0.1988,1.0235,0.6215
pck,Paite (Chin),Sino-Tibetan,Tibeto-Burman,"78,800",Latin,OSV,0,COMPLETE,0,0,0,0,0,0,0.3095,0.0254,1.0061,1.155,14024.5476,40959.3634,0.6191,0.0254,0.9753,0.6961
pol,Polish,Indo-European,Slavic,"36,600,000",Latin,SVO,0,COMPLETE,421000000,11616265100,3338920000,5500000,377177649,49200000,0.3369,0.0003,1.0227,1.0926,14027.0314,40705.8857,0.6738,0.0003,1.0027,0.5851
por,Portuguese,Indo-European,Italic,"178,000,000",Latin,SVO,0,COMPLETE,507000000,11616265100,2513780000,8300000,377177649,36284000,0.0933,0.0032,1.3574,1.2821,13620.81,41712.8602,0.1866,0.0032,0.6732,0.606
kek,Q'eqchi',Mayan,Quichean-Mamean,"400,000",Latin,VOS,1,COMPLETE,0,0,0,0,0,0,0.077,0.0011,2.4545,2.4701,13579.6547,44674.6207,0.1541,0.0011,0.6591,0.5834
quw,Quichua,Quechuan,Quechua II,"20,000",Latin,SOV,1,New Testament,0,0,0,0,0,0,0.3407,0.1715,0.9754,1.0588,14014.8395,41190.0537,0.6814,0.1715,1.0329,0.7285
rmn,Romani,Indo-European,Indo-Iranian,"710,000",Latin,SVO,0,New Testament,0,0,0,0,0,0,0.0915,0.0014,9.3127,9.6538,13564.6912,202406.5434,0.183,0.0014,0.6696,0.456
ron,Romanian,Indo-European,Italic,"23,400,000",Latin,SVO,0,COMPLETE,147700000,11616265100,2513780000,4900000,377177649,36284000,0.342,0.1991,1.0292,1.0375,14267.1451,40960.1447,0.684,0.1991,1.0207,0.6538
rus,Russian,Indo-European,Slavic,"143,000,000",Cyrillic,SVO,0,COMPLETE,1761000000,11616265100,3338920000,9300000,377177649,49200000,0.0737,0.0003,1.3729,1.3382,13579.4436,41299.5365,0.1475,0.0003,0.7063,0.5909
srp,Serbian,Indo-European,Slavic,"7,000,000",Latin,SVO,0,COMPLETE,68300000,11616265100,3338920000,4000000,377177649,49200000,0.3408,0.195,0.9969,1.0261,14035.5087,41109.8519,0.6816,0.195,1.0334,0.7133
shn,Shona,Niger-Congo,Atlantic-Congo,"12,563,100",Latin,SVO,0,COMPLETE,5595200,145299300,145299300,0,0,0,0.3465,0.2641,0.994,1.0303,14121.3529,41198.01,0.6931,0.2641,1.0472,0.7105
jiv,Shuar (Jivaro),Jivaroan,Jivaroan,"46,700",Latin,SOV,1,New Testament,0,0,0,0,0,0,0.0304,0.0001,1.7761,1.7788,13588.3714,40817.9191,0.0608,0.0001,0.5855,0.5891
slk,Slovak,Indo-European,Slavic,"4,610,000",Latin,SVO,0,COMPLETE,156500000,11616265100,3338920000,5200000,377177649,49200000,0.3053,0.1386,3.1152,2.7993,14309.3781,45258.3225,0.6107,0.1386,0.9307,0.6712
slv,Slovene,Indo-European,Slavic,"1,730,000",Latin,SVO,0,COMPLETE,129500000,11616265100,3338920000,5200000,377177649,49200000,0.3382,0.2795,0.9915,1.0401,14256.4675,41278.9537,0.6765,0.2795,1.0224,0.7522
som,Somali,Afro-Asiatic,Cushitic,"8,340,000",Latin,SOV,0,COMPLETE,11825000,495945000,11825000,85000,12677000,85000,0.0931,0.0001,1.1132,1.1653,13561.0095,40125.4028,0.1861,0.0001,0.6873,0.5508
spa,Spanish,Indo-European,Italic,"328,000,000",Latin,SVO,0,COMPLETE,436000000,11616265100,2513780000,4800000,377177649,36284000,0.3434,0.0917,1.0371,0.989,14282.3129,40118.2226,0.6867,0.0917,1.0199,0.4898
swh,Swahili,Niger-Congo,Atlantic-Congo,"788,000",Latin,SVO,0,New Testament,87840000,145299300,145299300,173000,173000,173000,0.3293,0.1603,1.0157,1.0297,13708.069,41149.6824,0.6586,0.1603,1.0049,0.7298
swe,Swedish,Indo-European,Germanic,"8,300,000",Latin,SVO,0,COMPLETE,246000000,11616265100,3916959000,7800000,377177649,259221917,0.3428,0.2593,0.9909,1.0196,14141.0758,41228.3354,0.6855,0.2593,1.0244,0.7231
arc,Syriac,Afro-Asiatic,Semitic,Extinct,Syriac,VSO,0,New Testament,0,0,0,0,0,0,0.3247,0.0187,2.5381,2.8435,13999.031,44779.2769,0.6495,0.0187,1.0072,0.4788
shi,Tachelhit,Afro-Asiatic,Berber,"3,000,000",Latin,VSO,0,New Testament,0,0,0,0,0,0,0.3334,0.006,1.0054,1.191,14029.4438,40311.7985,0.6668,0.006,1.0197,0.2939
tgl,Tagalog,Austronesian,Malayo-Polynesian,"23,900,000",Latin,VSO,0,COMPLETE,52600000,517929400,517929400,36000,7592560,7592560,0.3419,0.2511,1.0065,1.0155,14246.3785,41212.3731,0.6839,0.2511,1.0292,0.7094
tel,Telugu,Dravidian,South-Central,"69,600,000",Telugu,SOV,0,COMPLETE,106310000,334050000,106310000,33000,448000,33000,0.3424,0.2707,1.0034,1.0243,14118.9468,41302.2598,0.6848,0.2707,1.0326,0.7357
tha,Thai,Tai-Kadai,Kam-Tai,"20,300,000",Thai,SVO,0,COMPLETE,116700000,116700000,116700000,4100000,4100000,4100000,0.0403,0.0011,1.125,1.1455,13560.3478,40460.0056,0.0807,0.0011,0.6639,0.6053
tha,Thai (tokenised),Tai-Kadai,Kam-Tai,"20,300,000",Thai,SVO,0,COMPLETE,116700000,116700000,116700000,4100000,4100000,4100000,0.3385,0.2031,0.9991,1.0082,14034.7824,40965.8133,0.6771,0.2031,1.0332,0.6503
tur,Turkish,Altaic,Turkic,"50,000,000",Latin,SOV,0,COMPLETE,254000000,480227000,480227000,5700000,6283000,6283000,0.019,0.0003,1.0061,1.0474,13591.6683,40462.4071,0.0381,0.0003,0.6097,0.6096
ukr,Ukranian,Indo-European,Slavic,"37,000,000",Cyrillic,SVO,0,New Testament,183100000,11616265100,3338920000,1400000,377177649,49200000,0.3422,0.2401,1.0105,1.0209,14389.4134,41249.1466,0.6844,0.2401,1.0223,0.716
ppk,Uma,Austronesian,Malayo-Polynesian,"20,000",Latin,Unknown,0,New Testament,0,0,0,0,0,0,0.342,0.2721,1.0116,1.0351,14343.4709,41274.4869,0.684,0.2721,1.0269,0.7554
usp,Uspanteco,Mayan,Quichean-Mamean,"3,000",Latin,SVO,1,New Testament,0,0,0,0,0,0,0.1491,0.0006,1.034,1.0895,13639.2286,40527.7965,0.2982,0.0006,0.8098,0.5504
vie,Vietnamese,Austro-Asiatic,Mon-Khmer,"68,600,000",Latin,SVO,0,COMPLETE,221000000,250798000,250798000,4000000,4000625,4000625,0.3381,0.0006,1.014,1.1203,14097.8015,40393.5702,0.6763,0.0006,1.0152,0.531
vie,Vietnamese (tokenised),Austro-Asiatic,Mon-Khmer,"68,600,000",,SVO,0,COMPLETE,221000000,250798000,250798000,4000000,4000625,4000625,0.3204,0.1236,1.035,1.0296,14058.0298,41142.9452,0.6409,0.1236,0.9905,0.7163
wal,Wolaytta,Afro-Asiatic,Omotic,"1,230,000",Latin,SOV,0,New Testament,0,0,0,0,0,0,0.2787,0.0612,1.5134,1.7337,14080.2351,44003.0315,0.5575,0.0612,0.9201,0.578
wol,Wolof,Niger-Congo,Atlantic-Congo,"4,000,000",Latin,SVO,0,New Testament,1750000,145299300,145299300,0,0,0,0.3255,0.1697,1.0207,1.07,13905.3471,41204.3067,0.651,0.1697,0.9969,0.732
xho,Xhosa,Niger-Congo,Atlantic-Congo,"7,800,000",Latin,SVO,0,COMPLETE,4690100,145299300,145299300,0,0,0,0.0572,0.0197,1.0159,1.0839,13584.8469,40864.9451,0.1145,0.0197,0.664,0.6875
dje,Zarma,Nilo-Saharan,Songhai,"2,350,000",Latin,SOV,0,COMPLETE,0,0,0,0,0,0,0.3445,0.252,1.0435,1.0476,14143.6103,41203.5017,0.6889,0.252,0.9717,0.6995
zul,Zulu,Niger-Congo,Atlantic-Congo,"9,980,000",Latin,SVO,0,New Testament,10162000,145299300,145299300,0,0,0,0.344,0.2139,1.0355,1.0401,14208.2434,41211.9458,0.6881,0.2139,1.0434,0.731
